,identifier/obPropId,LotSizeAcres,address/oneLine,address/postal1,location/latitude,location/longitude,location/distance,summary/propclass,summary/propsubtype,summary/yearbuilt,building/size/universalsize,building/rooms/bathstotal,building/rooms/beds,sale/amount/saleamt,sale/amount/salerecdate,sale/amount/saletranstype,sale/calculation/priceperbed,sale/calculation/pricepersizeunit
2361,2547880000000.0,1.59,"95 PARISETTE LN, AKRON, OH 44319",44319,40.972415000000005,-81.525276,36.5,Single Family Residence / Townhouse,RESIDENTIAL,1959,1130,2.0,2,229000,2019-04-30,Resale,114500,203
3118,18253900000000.0,3.75,"6535 HAHN ST, LOUISVILLE, OH 44641",44641,40.887718,-81.276463,48.51,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1963,1466,1.0,2,185000,2019-04-30,Resale,92500,126
3871,14106600000000.0,0.0964,"730 LONGVIEW AVE, AKRON, OH 44307",44307,41.063223,-81.552696,30.33,Single Family Residence / Townhouse,RESIDENTIAL,1919,1344,1.0,2,16000,2019-04-30,Resale,8000,12
1650,15320600000000.0,0.1644,"1423 DEXTER RD NE, MASSILLON, OH 44646",44646,40.813093,-81.516346,46.69,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1950,1960,3.0,4,158000,2019-04-30,Resale,39500,81
9248,18244400000000.0,1.01,"11520 OBERLIN RD, OBERLIN, OH 44074",44074,41.322387,-82.196378,19.73,Single Family Residence / Townhouse,HOUSE,1966,988,2.0,3,150000,2019-04-30,Resale,50000,152
2469,18352400000000.0,0.5142,"37 LAKE FRONT DR, AKRON, OH 44319",44319,40.98749,-81.526108,35.56,Single Family Residence / Townhouse,RESIDENTIAL,1993,2442,4.0,4,280000,2019-04-30,Resale,70000,115
3922,18263400000000.0,0.0961,"374 RANKIN ST, AKRON, OH 44311",44311,41.06797,-81.510228,31.25,Single Family Residence / Townhouse,RESIDENTIAL,1935,1282,1.0,3,85000,2019-04-30,Resale,28333,66
2695,2573310000000.0,0.5006,"468 MEADOW DR, WADSWORTH, OH 44281",44281,41.016314,-81.706018,30.24,Single Family Residence / Townhouse,HOUSE,1987,1332,1.0,3,170900,2019-04-30,Resale,56967,128
1361,18255500000000.0,0.3074,"256 CORDELIA ST SW, NORTH CANTON, OH 44720",44720,40.868836,-81.401687,45.89,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1953,1350,1.0,2,150000,2019-04-30,Resale,75000,111
3524,102148000000.0,0.1111,"634 STEVENSON AVE, AKRON, OH 44312",44312,41.041845,-81.431874,35.13,Single Family Residence / Townhouse,RESIDENTIAL,1999,1298,2.0,3,112500,2019-04-29,Resale,37500,87
5038,14824000000000.0,0.1086,"1051 OAKLAND AVE, AKRON, OH 44310",44310,41.114165,-81.508859,28.72,Single Family Residence / Townhouse,RESIDENTIAL,1954,1536,1.0,3,105000,2019-04-29,Resale,35000,68
8787,3362200000000.0,0.1874,"73 MERRIMAN RD, AKRON, OH 44303",44303,41.094937,-81.536394,28.94,Single Family Residence / Townhouse,RESIDENTIAL,1916,1482,2.0,3,37000,2019-04-29,Construction Loan/Financing,12333,25
6420,4693040000000.0,0.2792,"3260 CREEKSIDE DR, NORTON, OH 44203",44203,41.045469,-81.646395,29.28,Single Family Residence / Townhouse,RESIDENTIAL,1972,1860,3.0,4,179900,2019-04-29,Resale,44975,97
2493,14079100000000.0,0.1148,"3680 S TURKEYFOOT RD, AKRON,OH 44319",44319,40.99045,-81.534806,35.17,Single Family Residence / Townhouse,RESIDENTIAL,1928,752,1.0,2,20000,2019-04-26,Resale,10000,27
7821,18336900000000.0,0.1286,"480 PLAYLAND PKWY, CHIPPEWA LAKE, OH 44215",44215,41.056022,-81.899703,26.67,Single Family Residence / Townhouse,HOUSE,1954,1624,1.0,3,159500,2019-04-26,Resale,53167,98
714,18202300000000.0,0.3696,"731 27TH ST NE, MASSILLON, OH 44646",44646,40.803244,-81.484371,47.97,Single Family Residence / Townhouse,HOUSE,1994,1953,3.0,3,182500,2019-04-26,Resale,60833,93
1196,18348400000000.0,0.1271,"4516 PAIGE AVE NW, CANTON, OH 44709",44709,40.847869,-81.396054,47.29,Single Family Residence / Townhouse,HOUSE,1952,1408,1.0,4,36500,2019-04-26,Resale,9125,26
4932,290580000000.0,0.1185,"1139 KESSEL AVE, AKRON, OH 44310",44310,41.108528,-81.495878,29.45,Single Family Residence / Townhouse,RESIDENTIAL,1952,1008,1.0,3,100000,2019-04-25,Resale,33333,99
1715,2461790000000.0,0.4172,"4961 18TH ST NW, CANTON, OH 44708",44708,40.818164,-81.437333,48.07,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1963,2250,2.0,3,145000,2019-04-25,Resale,48333,64
7403,1233650000000.0,0.5739,"3862 MILL ST, RICHFIELD, OH 44286",44286,41.240889,-81.650582,17.28,Single Family Residence / Townhouse,RESIDENTIAL,1963,1040,2.0,3,10000,2019-04-25,Resale,3333,10
4862,14054600000000.0,0.1699,"1480 GRAND PARK AVE, AKRON, OH 44310",44310,41.103836,-81.474068,30.42,Single Family Residence / Townhouse,RESIDENTIAL,1962,1092,2.0,3,100100,2019-04-25,Resale,33367,92
4344,18270200000000.0,0.2697,"164 CHURCH ST, DOYLESTOWN, OH 44230",44230,40.968911999999996,-81.693517,33.57,Single Family Residence / Townhouse,RESIDENTIAL,1946,1913,2.0,3,114900,2019-04-25,Construction Loan/Financing,38300,60
2095,5231820000000.0,5.07,"10977 MCCALLUM AVE NE, ALLIANCE, OH 44601",44601,40.930907,-81.17290200000001,49.87,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1988,2643,3.0,3,300000,2019-04-25,Resale,100000,114
2764,2607910000000.0,0.1286,"1537 JOSEPHINE AVE, LAKEMORE,OH 44250",44250,41.020612,-81.43748000000001,36.11,Single Family Residence / Townhouse,RESIDENTIAL,2002,1408,2.0,3,139500,2019-04-25,Resale,46500,99
3129,18350900000000.0,0.3796,"1900 ABBOTS POND CIR NE, N CANTON, OH 44721",44721,40.888191,-81.345057,46.36,Single Family Residence / Townhouse,HOUSE,2004,1966,3.0,3,239900,2019-04-24,Resale,79967,122
5072,2019580000000.0,0.61,"4309 CLOVER DR, RAVENNA, OH 44266",44266,41.115527,-81.237516,39.03,Single Family Residence / Townhouse,RESIDENTIAL,1999,1872,3.0,3,201000,2019-04-23,Resale,67000,107
3096,5432480000000.0,0.054000000000000006,"775 BEVERLY AVE, CANAL FULTON, OH 44614",44614,40.886392,-81.573756,40.89,Single Family Residence / Townhouse,HOUSE,1998,1548,2.0,2,500,2019-04-23,Nominal - Non/Arms Length Sale,250,0
7720,18260800000000.0,0.5289,"7500 LAKEDGE CT, HUDSON, OH 44236",44236,41.263139,-81.413076,25.85,Single Family Residence / Townhouse,RESIDENTIAL,1989,3034,3.0,4,438500,2019-04-23,Resale,109625,145
1979,24271000000000.0,0.0918,"19TH ST SW, CANTON, OH 44709",44709,40.84214,-81.38565,47.91,Single Family Residence / Townhouse,RESIDENTIAL,0,0,0.0,0,60000,2019-04-23,Resale,0,0
2426,4426300000000.0,0.2755,"370 HILTY AVE, RITTMAN, OH 44270",44270,40.981907,-81.795477,31.79,Single Family Residence / Townhouse,RESIDENTIAL,1967,2120,2.0,3,150000,2019-04-23,Resale,50000,71
3572,235274000000.0,0.2424,"3812 ORCHARD ST, MOGADORE, OH 44260",44260,41.043993,-81.396724,36.18,Single Family Residence / Townhouse,RESIDENTIAL,1955,1224,1.0,2,140000,2019-04-19,Resale,70000,114
8307,3711110000000.0,0.722,"19071 HOWE RD, STRONGSVILLE, OH 44136",44136,41.281608,-81.810727,11.18,Single Family Residence / Townhouse,RESIDENTIAL,1965,1120,1.0,3,166000,2019-04-19,Resale,55333,148
9549,3701020000000.0,0.985,"765 CLUB DR, AURORA, OH 44202",44202,41.340421,-81.36092099999999,26.39,Single Family Residence / Townhouse,RESIDENTIAL,2003,7679,5.0,5,1030000,2019-04-19,Resale,206000,134
126,196613000000.0,0.2066,"1145 ELLWOOD AVE SW, CANTON, OH 44710",44710,40.791641,-81.43226700000001,49.83,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1977,1573,2.0,3,155000,2019-04-18,Resale,51667,99
8588,173745000000.0,0.245,"726 HANSEN CT, AKRON, OH 44305",44305,41.081983,-81.493256,30.98,Single Family Residence / Townhouse,RESIDENTIAL,1919,1302,2.0,5,7000,2019-04-18,Resale,1400,5
1077,15023000000000.0,0.1664,"1914 MOUNT VERNON BLVD NW, CANTON, OH 44709",44709,40.834443,-81.391447,48.22,Single Family Residence / Townhouse,HOUSE,1927,1632,2.0,3,136700,2019-04-18,Resale,45567,84
5740,1953510000000.0,0.3671,"530 FAIRHILL DR, AKRON, OH 44313",44313,41.129226,-81.580837,25.68,Single Family Residence / Townhouse,RESIDENTIAL,1955,1510,3.0,3,135255,2019-04-16,Resale,45085,90
8501,18230300000000.0,0.7445,"16620 BENNETT RD, NORTH ROYALTON, OH 44133",44133,41.296972,-81.75768000000001,11.04,Single Family Residence / Townhouse,RESIDENTIAL,1970,1784,1.0,3,250000,2019-04-15,Resale,83333,140
9416,18246900000000.0,0.812,"560 BRISTOL DR, AURORA, OH 44202",44202,41.33287,-81.35661400000001,26.74,Single Family Residence / Townhouse,RESIDENTIAL,2014,5783,5.0,4,1525000,2019-04-15,Resale,381250,264
8479,148294000000.0,0.46,"7515 BRISTOL LN, BRECKSVILLE, OH 44141",44141,41.295336999999996,-81.658652,14.16,Single Family Residence / Townhouse,RESIDENTIAL,1993,3210,3.0,4,408500,2019-04-15,Resale,102125,127
1324,196618000000.0,0.5393,"527 HEATHERWOOD ST SW, NORTH CANTON, OH 44720",44720,40.861001,-81.406906,46.22,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1961,1276,2.0,3,130000,2019-04-15,Resale,43333,102
9811,18230700000000.0,0.5831,"7632 VALLEY VISTA RD, INDEPENDENCE, OH 44131",44131,41.354442999999996,-81.627546,13.04,Single Family Residence / Townhouse,RESIDENTIAL,1957,1658,2.0,3,240000,2019-04-15,Resale,80000,145
4069,1807700000000.0,0.124,"1138 CORDOVA AVE, AKRON, OH 44320",44320,41.078317,-81.575222,28.83,Single Family Residence / Townhouse,RESIDENTIAL,1950,1088,2.0,4,27900,2019-04-15,Resale,6975,26
4684,18260500000000.0,0.9298,"1477 JACOBY RD, COPLEY, OH 44321",44321,41.09216,-81.619238,26.91,Single Family Residence / Townhouse,RESIDENTIAL,1937,1575,2.0,3,150000,2019-04-12,Resale,50000,95
4751,1726540000000.0,0.4035,"1243 SUNSET VIEW DR, AKRON, OH 44313",44313,41.095269,-81.5576,28.31,Single Family Residence / Townhouse,RESIDENTIAL,1930,2797,3.0,4,269000,2019-04-12,Resale,67250,96
143,427392000000.0,0.0899,"824 MAIN AVE W, MASSILLON, OH 44647",44647,40.793378000000004,-81.53449,47.62,Single Family Residence / Townhouse,HOUSE,1901,1758,2.0,3,99500,2019-04-12,Resale,33167,57
8533,14197300000000.0,0.4649,"16132 PROSPECT RD, STRONGSVILLE, OH 44149",44149,41.299172,-81.85807700000001,9.77,Single Family Residence / Townhouse,RESIDENTIAL,1966,2239,3.0,4,221000,2019-04-12,Resale,55250,99
6209,465254000000.0,0.124,"115 NORWOOD ST, BARBERTON, OH 44203",44203,41.0354,-81.583678,31.24,Single Family Residence / Townhouse,RESIDENTIAL,1948,704,1.0,2,125000,2019-04-12,Resale,62500,178
6409,2115540000000.0,0.1194,"615 GIBBS RD, AKRON, OH 44312",44312,41.044799,-81.460418,34.06,Single Family Residence / Townhouse,RESIDENTIAL,1962,960,1.0,3,130000,2019-04-12,Resale,43333,135
7137,14980000000000.0,2.84,"4184 MAPLE DR, RICHFIELD, OH 44286",44286,41.210823,-81.64398800000001,19.17,Single Family Residence / Townhouse,RESIDENTIAL,1949,1165,1.0,4,200000,2019-04-11,Resale,50000,172
2418,121462000000.0,0.2858,"388 CHESHIRE RD, AKRON, OH 44319",44319,40.979382,-81.509371,36.47,Single Family Residence / Townhouse,RESIDENTIAL,1971,2004,3.0,3,205000,2019-04-11,Resale,68333,102
6965,173728000000.0,0.2755,"4408 FORESTHILL RD, STOW, OH 44224",44224,41.181559,-81.414024,28.92,Single Family Residence / Townhouse,RESIDENTIAL,1977,1722,2.0,4,210000,2019-04-11,Resale,52500,122
7212,18242600000000.0,0.83,"1197 S NORWALK RD W, NORWALK, OH 44857",44857,41.225188,-82.634227,43.38,Single Family Residence / Townhouse,HOUSE,1953,1360,1.0,3,50000,2019-04-10,Resale,16667,37
4884,18264100000000.0,0.1435,"707 WALL ST, AKRON, OH 44310",44310,41.104682000000004,-81.51583000000001,29.02,Single Family Residence / Townhouse,RESIDENTIAL,1904,1718,1.0,3,135000,2019-04-10,Nominal - Non/Arms Length Sale,45000,79
3582,18263300000000.0,0.1126,"855 AUSTIN AVE, AKRON, OH 44306",44306,41.045318,-81.495971,32.96,Single Family Residence / Townhouse,RESIDENTIAL,1944,1008,1.0,2,60000,2019-04-08,Resale,30000,60
5791,194254000000.0,0.1515,"1071 ENDICOTT DR, AKRON, OH 44313",44313,41.132725,-81.553608,26.29,Single Family Residence / Townhouse,RESIDENTIAL,1961,988,1.0,3,130000,2019-04-05,Resale,43333,132
8475,24242300000000.0,1.3322,"1130 W EDGERTON RD, BROADVIEW HEIGHTS, OH 44147",44147,41.294512,-81.686441,13.22,Single Family Residence / Townhouse,RESIDENTIAL,2012,1723,3.0,3,253500,2019-04-05,Resale,84500,147
3466,2649120000000.0,0.0476,"2349 25TH ST SW, AKRON, OH 44314",44314,41.039933000000005,-81.569168,31.31,Single Family Residence / Townhouse,RESIDENTIAL,1919,720,1.0,2,14700,2019-04-03,Resale,7350,20
8092,940922000000.0,0.1273,"1564 THURSTON ST, AKRON, OH 44320",44320,41.074949,-81.579612,28.92,Single Family Residence / Townhouse,RESIDENTIAL,1972,960,1.0,3,40000,2019-04-02,REO (Transfer to Lender),13333,42
1153,955560000000.0,0.2583,"118 SMUCKER ST, ORRVILLE, OH 44667",44667,40.841057,-81.785611,41.52,Single Family Residence / Townhouse,RESIDENTIAL,1955,1148,2.0,3,147000,2019-04-02,Resale,49000,128
6549,18330100000000.0,5.05,"9001 SHANK RD, LITCHFIELD, OH 44253",44253,41.150857,-82.013239,21.71,Single Family Residence / Townhouse,HOUSE,1972,1971,3.0,3,240000,2019-04-01,Resale,80000,122
7888,32096400000000.0,0.2926,"399 BUCKINGHAM GRV, WADSWORTH, OH 44281",44281,41.05936,-81.73994,26.94,Single Family Residence / Townhouse,HOUSE,2017,2282,3.0,4,295000,2019-04-01,Resale,73750,129
7551,18315300000000.0,0.2115,"27 E HARKNESS ST, NORWALK, OH 44857",44857,41.248427,-82.61004,41.65,Single Family Residence / Townhouse,HOUSE,1957,1144,1.0,3,146000,2019-03-29,Resale,48667,128
7807,18263400000000.0,0.0891,"1216 BITTAKER ST, AKRON, OH 44306",44306,41.055613,-81.486199,32.66,Single Family Residence / Townhouse,RESIDENTIAL,1924,1090,1.0,2,12000,2019-03-27,Resale,6000,11
608,18250200000000.0,0.1109,"1809 VERMONT AVE SE, MASSILLON, OH 44646",44646,40.797584,-81.50167900000001,47.98,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1978,960,1.0,3,56000,2019-03-27,REO (Transfer to Lender),18667,58
5962,14991700000000.0,0.155,"630 MUNROE FALLS AVE, CUYAHOGA FALLS, OH 44221",44221,41.140188,-81.473966,28.55,Single Family Residence / Townhouse,RESIDENTIAL,1930,1254,2.0,2,122000,2019-03-27,Resale,61000,97
3231,18252500000000.0,0.4649,"8509 MARKET AVE N, CANTON, OH 44721",44721,40.909786,-81.362176,44.63,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1958,1008,1.0,3,32000,2019-03-26,Resale,10667,32
8686,18315300000000.0,0.3636,"69 GRANT ST, NEW LONDON, OH 44851",44851,41.088465,-82.403743,37.68,Single Family Residence / Townhouse,RESIDENTIAL,0,0,0.0,0,20000,2019-03-26,Resale,0,0
8158,1807420000000.0,0.2583,"659 WYANDOT AVE, AKRON, OH 44305",44305,41.080602,-81.47005899999999,31.79,Single Family Residence / Townhouse,RESIDENTIAL,1942,1218,1.0,3,69000,2019-03-26,Resale,23000,57
8016,177664000000.0,0.0918,"98 FORREST ST, AKRON, OH 44306",44306,41.069891,-81.491973,31.69,Single Family Residence / Townhouse,RESIDENTIAL,1925,1040,1.0,2,10000,2019-03-22,Resale,5000,10
2364,1777020000000.0,0.2755,"5877 SERENADE DR, NEW FRANKLIN, OH 44216",44216,40.974426,-81.641087,33.98,Single Family Residence / Townhouse,RESIDENTIAL,1962,900,1.0,3,66000,2019-03-22,Resale,22000,73
3987,18262400000000.0,0.1446,"938 DIANA AVE, AKRON, OH 44307",44307,41.071876,-81.553685,29.79,Single Family Residence / Townhouse,RESIDENTIAL,1965,1036,1.0,3,16000,2019-03-22,Nominal - Non/Arms Length Sale,5333,15
3670,18261500000000.0,2.94,"3765 SUMMIT RD, NORTON, OH 44203",44203,41.049828999999995,-81.602576,29.91,Single Family Residence / Townhouse,RESIDENTIAL,1964,1309,1.0,3,55000,2019-03-22,Resale,18333,42
4651,2642470000000.0,1.0032,"138 FERGUSON DR, TALLMADGE, OH 44278",44278,41.090225,-81.436178,32.42,Single Family Residence / Townhouse,RESIDENTIAL,1937,2180,3.0,3,58000,2019-03-19,REO (Transfer to Lender),19333,27
7364,5374120000000.0,0.1915,"9888 BELDEN DR, WINDHAM, OH 44288",44288,41.23892,-81.03376800000001,44.72,Single Family Residence / Townhouse,RESIDENTIAL,1977,1064,1.0,3,68900,2019-03-18,Resale,22967,65
