,street_1,city,state,zip,sale_price,date,latitude,longitude
38,2544 EARL ST,Wooster,OH,44691,156000,2017-12-04,40.767951000000004,-81.96150300000001
39,1960 CYPRUS DR SE,Massillon,OH,44646,233000,2009-04-29,40.768327,-81.49460400000001
40,2534 KIDRON RD,Orrville,OH,44667,150000,2009-01-15,40.769037,-81.745072
41,2460 URBANA AVE SE,Massillon,OH,44646,157000,2009-01-09,40.770185,-81.48975300000001
42,2350 URBANA AVE SE,Massillon,OH,44646,153400,2013-09-26,40.770227,-81.491355
43,DEERFIELD AVE N,Dalton,OH,44618,95000,2018-12-17,40.771809999999995,-81.68914000000001
44,374 N KOHLER RD,Dalton,OH,44618,585000,2006-12-18,40.771809999999995,-81.68914000000001
45,2217 S ELYRIA RD,Wooster,OH,44691,41000,2017-01-06,40.770709000000004,-82.08464599999999
46,BAIR RD,Dalton,OH,44618,200000,2006-12-20,40.771809999999995,-81.68914000000001
47,GOUDY RD,Dalton,OH,44618,300000,2011-03-08,40.771809999999995,-81.68914000000001
48,3748 SYLVAN RD,Wooster,OH,44691,1000,2018-01-23,40.772403000000004,-81.892584
49,GARFIELD ST,Dalton,OH,44618,84700,2014-04-11,40.771809999999995,-81.68914000000001
50,1975 AUGUSTA DR SE,Massillon,OH,44646,375000,2014-04-18,40.774208,-81.496736
51,2337 17TH ST SW,Massillon,OH,44647,26000,2011-07-14,40.775712,-81.545428
52,2131 MOUNT EATON RD S,Dalton,OH,44618,625000,2010-11-16,40.774808,-81.69241099999999
53,1230 FOREST AVE SE,Massillon,OH,44646,65000,2006-09-29,40.776973,-81.50973499999999
54,10272 MORTON RD SW,Massillon,OH,44647,90000,2018-05-25,40.776603,-81.546223
55,3219 SYLVAN RD,Wooster,OH,44691,235000,2018-09-26,40.77711,-81.896856
56,9103 ELY RD,Apple Creek,OH,44606,52200,2018-08-21,40.777612,-81.810553
57,63 MARION AVE SE,Massillon,OH,44646,15000,2010-09-01,40.778224,-81.512925
58,1011 S CARR RD,Orrville,OH,44667,130000,2015-05-04,40.77852,-81.788949
59,11179 ANGLING RD,Wooster,OH,44691,155000,2006-10-31,40.778736,-82.123751
60,1736 15TH ST SE,Massillon,OH,44646,1262400,2010-08-13,40.777884,-81.506671
61,13444 GOUDY RD,Dalton,OH,44618,235000,2018-10-25,40.778620000000004,-81.74176899999999
62,1704 SHAWNEE AVE SE,Massillon,OH,44646,4300,2007-11-16,40.780184000000006,-81.503764
63,1740 WESTWOOD CIR,Wooster,OH,44691,175000,2018-01-31,40.778892,-81.96714899999999
64,1304 PEARL AVE SE,Massillon,OH,44646,66500,2012-04-30,40.780615999999995,-81.509241
65,797 LEANN ST,Wooster,OH,44691,132500,2014-04-17,40.779418,-81.957041
66,1370 BENSON ST SW,Massillon,OH,44647,35900,2005-06-22,40.781633,-81.556462
67,1447 S FUNK RD,Wooster,OH,44691,127500,2011-09-09,40.780195,-82.117586
68,1227 OIL CITY RD,Wooster,OH,44691,150000,2017-01-19,40.781568,-81.906617
69,1254 HURON RD SE,Massillon,OH,44646,10000,2018-10-29,40.782439000000004,-81.500784
70,1433 MADISON AVE,Wooster,OH,44691,35000,2018-03-06,40.782452,-81.932214
71,511 NEALE AVE SW,Massillon,OH,44647,6200,2008-08-11,40.782599,-81.525256
72,730 NEALE AVE SW,Massillon,OH,44647,60000,2005-08-08,40.782932,-81.529282
73,1225 BARNARD RD,Wooster,OH,44691,154900,2014-09-03,40.781444,-81.853851
74,561 GEIGER AVE SW,Massillon,OH,44647,30200,2018-01-16,40.783306,-81.526761
75,1705 MOHICAN AVE SE,Massillon,OH,44646,48000,2014-09-29,40.783496,-81.503176
76,1330 BARNES DR,Wooster,OH,44691,110000,2017-10-23,40.782577,-81.95545899999999
77,3329 SOUTHWAY ST SW,Massillon,OH,44646,410000,2010-09-29,40.782775,-81.47241899999999
78,12692 ARNOLD RD,Orrville,OH,44667,144900,2016-07-14,40.782787,-81.752678
79,1335 FRANK DR,Wooster,OH,44691,140000,2007-09-07,40.782819,-81.951971
80,1287 3RD ST SE,Massillon,OH,44646,5000,2014-09-12,40.782340999999995,-81.511026
81,518 BEBB AVE SW,Massillon,OH,44647,11500,2009-12-11,40.784263,-81.52606899999999
82,529 GEIGER AVE SW,Massillon,OH,44647,81000,2005-04-19,40.783289,-81.52600000000001
83,1650 CEDARCREST AVE SW,Massillon,OH,44646,150000,2019-03-08,40.783363,-81.452101
84,731 WEBB AVE SW,Massillon,OH,44647,19900,2008-10-28,40.784752000000005,-81.530085
85,1724 CARLENE AVE SW,Massillon,OH,44647,154900,2017-06-02,40.78455,-81.54567
86,1822 CARLENE AVE SW,Massillon,OH,44647,175000,2017-06-30,40.784587,-81.547096
87,188 HARMONY ST NW,Massillon,OH,44647,132000,2008-08-18,40.784872,-81.565353
88,928 17TH ST SW,Massillon,OH,44647,98300,2015-10-02,40.785940999999994,-81.544442
89,107 EDWIN AVE SE,Massillon,OH,44646,11500,2007-08-06,40.785990999999996,-81.51639899999999
90,13618 ARNOLD RD,Dalton,OH,44618,223000,2005-07-29,40.784017,-81.743487
91,1066 S KOHLER RD,Orrville,OH,44667,123500,2011-09-01,40.785321,-81.754979
92,116 EDWIN AVE SE,Massillon,OH,44646,3100,2007-09-19,40.786294,-81.51636500000001
93,829 12TH ST SW,Massillon,OH,44647,52000,2006-05-23,40.786479,-81.536663
94,812 12TH ST SW,Massillon,OH,44647,62900,2012-01-26,40.786522,-81.536302
95,2303 TREMONT AVE SW,Massillon,OH,44647,36100,2011-03-28,40.786573,-81.55188199999999
96,905 JOHNSON ST SE,Massillon,OH,44646,15000,2013-03-11,40.786978999999995,-81.510664
97,816 2ND ST SE,Massillon,OH,44646,24900,2015-05-01,40.7872,-81.515383
98,2031 TREMONT AVE SW,Massillon,OH,44647,53000,2015-04-22,40.787424,-81.548518
99,1026 PERKINS DR,Wooster,OH,44691,92500,2008-10-27,40.78758,-81.930449
100,927 22ND ST SW,Massillon,OH,44647,115000,2009-06-09,40.786767,-81.550591
101,4982 14TH ST SW,Canton,OH,44710,99900,2015-04-29,40.788253999999995,-81.442854
102,71 25TH ST NW,Massillon,OH,44647,109000,2005-07-11,40.78775,-81.55505500000001
103,50 22ND ST NW,Massillon,OH,44647,62000,2005-03-21,40.788546999999994,-81.549835
104,307 15TH ST SW,Massillon,OH,44647,80000,2012-10-16,40.788565000000006,-81.541611
105,794 STARR RIDGE ST SE,Massillon,OH,44646,158600,2013-09-11,40.787957,-81.48435
106,4828 13TH ST SW,Canton,OH,44710,41300,2014-07-14,40.789035,-81.437545
107,894 KIDRON RD,Orrville,OH,44667,180000,2007-08-13,40.788342,-81.74519000000001
108,1606 TREMONT AVE SW,Massillon,OH,44647,10019,2017-03-07,40.789037,-81.543346
109,707 CHARLDON AVE SW,Massillon,OH,44646,111000,2005-06-29,40.788486,-81.477094
110,4920 13TH ST SW,Canton,OH,44710,77200,2005-05-18,40.789149,-81.440802
111,4948 13TH ST SW,Canton,OH,44710,22500,2014-11-21,40.789184999999996,-81.441958
112,875 KIDRON RD,Orrville,OH,44667,60000,2015-07-16,40.788553,-81.74555600000001
113,654 BUCKWALTER DR SW,Massillon,OH,44646,130000,2015-10-29,40.789116,-81.478084
114,1233 WESTERN AVE SW,Canton,OH,44710,98000,2014-04-01,40.790024,-81.434915
115,667 YOUNG ST SE,Massillon,OH,44646,11000,2010-06-03,40.790046000000004,-81.51261600000001
116,815 SPRUCE ST,Wooster,OH,44691,135000,2018-02-01,40.789374,-81.940924
117,431 OVERLOOK CIR,Dalton,OH,44618,310000,2013-06-05,40.788905,-81.696324
118,4702 13TH ST SW,Canton,OH,44710,36000,2018-10-25,40.788927,-81.43360600000001
119,707 27TH ST SE,Massillon,OH,44646,267300,2011-08-29,40.789885999999996,-81.48603299999999
120,2890 AUTUMN ST NW,Massillon,OH,44647,135100,2014-08-22,40.789595,-81.560535
121,324 6TH ST SW,Massillon,OH,44647,10000,2019-01-17,40.791408000000004,-81.52936600000001
122,805 HIGHLAND AVE SE,Massillon,OH,44646,20000,2010-04-06,40.79153,-81.514157
123,307 STEWART AVE SW,Massillon,OH,44646,62000,2009-06-12,40.791540000000005,-81.458042
124,295 WETMORE AVE SE,Massillon,OH,44646,55000,2017-03-28,40.791614,-81.51668000000001
125,204 23RD ST NW,Massillon,OH,44647,82000,2017-05-22,40.791917,-81.551451
126,1145 ELLWOOD AVE SW,Canton,OH,44710,155000,2019-04-18,40.791641,-81.43226700000001
127,305 5TH ST SW,Massillon,OH,44647,59500,2019-02-25,40.792194,-81.528494
128,308 5TH ST SW,Massillon,OH,44647,32000,2010-08-12,40.792206,-81.528113
129,216 WESTLAND AVE SW,Massillon,OH,44646,62500,2014-12-05,40.792218,-81.456608
130,5214 12TH ST SW,Canton,OH,44710,94500,2014-06-27,40.791129999999995,-81.449312
131,1121 MANOR AVE SW,Canton,OH,44710,144900,2017-09-28,40.791964,-81.430939
132,1115 MILES AVE SW,Canton,OH,44710,111000,2005-12-06,40.791663,-81.433548
133,1250 CYRIL AVE SW,Massillon,OH,44647,100000,2016-05-31,40.792713,-81.59361
134,110 DELAWARE AVE SW,Canton,OH,44710,69500,2016-12-09,40.792716999999996,-81.44481
135,522 3RD ST SE,Massillon,OH,44646,9900,2018-11-07,40.792792999999996,-81.516739
136,308 PROUDLEY AVE SW,Massillon,OH,44646,120000,2018-03-13,40.792363,-81.471335
137,133 BROOKLYN AVE SW,Canton,OH,44710,36000,2014-03-11,40.792865,-81.444158
138,3435 EDGEWOOD DR,Wooster,OH,44691,133500,2006-09-15,40.79238,-81.898916
139,15538 ARNOLD RD,Dalton,OH,44618,187500,2007-10-31,40.792427,-81.715802
140,211 15TH ST NW,Massillon,OH,44647,72500,2013-07-02,40.793081,-81.543098
141,217 CRESCENTVIEW DR SW,Massillon,OH,44646,66000,2015-02-24,40.793114,-81.478838
142,222 ROWFORD AVE SW,Massillon,OH,44646,79900,2015-03-26,40.793224,-81.477249
143,824 MAIN AVE W,Massillon,OH,44647,99500,2019-04-12,40.793378000000004,-81.53449
144,325 GNAU AVE SW,Massillon,OH,44646,107000,2014-03-18,40.792946,-81.481514
145,10001 MILAN,Jeromesville,OH,44840,139900,2005-02-28,40.79312,-82.17693
146,716 32ND ST NW,Massillon,OH,44647,30000,2009-02-17,40.793565,-81.570888
147,321 SOUTH AVE SE,Massillon,OH,44646,27000,2016-05-06,40.793834000000004,-81.51718199999999
148,3737 WILE RD,Wooster,OH,44691,350000,2013-07-29,40.792684,-82.006173
149,747 MANOR AVE SW,Canton,OH,44710,143000,2005-10-31,40.793447,-81.430865
150,740 MANOR AVE SW,Canton,OH,44710,96000,2013-05-15,40.794064,-81.430479
151,318 ARTHUR ST SE,Massillon,OH,44646,48500,2018-05-24,40.794098999999996,-81.492634
152,412 26TH ST NW,Massillon,OH,44647,75000,2013-10-10,40.794193,-81.555652
153,445 FORD ST NW,Massillon,OH,44647,121000,2008-11-19,40.793721000000005,-81.559227
154,120 WERTZ ST,Dalton,OH,44618,216000,2018-05-21,40.793397999999996,-81.695403
155,641 LINCOLN WAY W,Massillon,OH,44647,275000,2016-08-01,40.793903,-81.531603
156,131 STAR CIR SW,Massillon,OH,44646,93000,2017-09-01,40.794419,-81.475512
157,331 21ST ST NW,Massillon,OH,44647,35000,2018-08-13,40.79407,-81.54834100000001
158,CHEETA CT,Massillon,OH,44647,3400,2017-06-12,40.794509999999995,-81.56658
159,11TH ST SW,Massillon,OH,44647,57400,2015-05-28,40.794509999999995,-81.56658
160,EUCLID ST SW,Massillon,OH,44647,36900,2009-05-06,40.794509999999995,-81.56658
161,MONROE ST NW,Massillon,OH,44647,29700,2017-02-09,40.794509999999995,-81.56658
162,10751 FINEFROCK RD SW,Massillon,OH,44647,70000,2012-10-09,40.794509999999995,-81.56658
163,DEERMONT AVE NW,Massillon,OH,44647,36000,2018-09-26,40.794509999999995,-81.56658
164,429 26TH ST NW,Massillon,OH,44647,71000,2014-08-07,40.794497,-81.55597
165,17TH ST SW,Massillon,OH,44647,6700,2017-03-17,40.794509999999995,-81.56658
166,7TH ST SW,Massillon,OH,44647,9100,2012-12-31,40.794509999999995,-81.56658
167,3294 PERSIA CIR SW,Massillon,OH,44646,75000,2009-10-30,40.794676,-81.473365
168,BEBB AVE SW,Massillon,OH,44647,20154,2013-12-31,40.794509999999995,-81.56658
169,122 LINWAY AVE NW,Massillon,OH,44646,38500,2012-07-11,40.794761,-81.464294
170,378 25TH ST NW,Massillon,OH,44647,75000,2018-11-09,40.794775,-81.554376
171,VICEROY DR SW,Massillon,OH,44647,112200,2017-07-27,40.794509999999995,-81.56658
172,BONNIE BRAE DR SW,Massillon,OH,44647,164000,2007-10-09,40.794509999999995,-81.56658
173,1834 ALPHA ST NW,Massillon,OH,44647,179100,2018-11-05,40.794509999999995,-81.56658
174,3726 GREENWOOD PL SW,Canton,OH,44710,74100,2006-08-31,40.795066,-81.41756600000001
175,124 MILES AVE SW,Canton,OH,44710,116900,2012-12-21,40.794852,-81.43337199999999
176,JORMAY AVE NW,Massillon,OH,44647,25000,2019-04-18,40.794509999999995,-81.56658
177,509 TREMONT AVE SE,Massillon,OH,44646,6345,2007-11-01,40.795584000000005,-81.516322
178,136 DELVERNE AVE SW,Canton,OH,44710,64800,2015-09-24,40.795634,-81.427892
179,1115 BLUFF ST SE,Massillon,OH,44646,70000,2005-07-29,40.795683000000004,-81.511238
180,3242 LINCOLN WAY E,Massillon,OH,44646,220000,2010-11-04,40.79524,-81.473365
181,140 W HENRY ST,Wooster,OH,44691,84000,2017-04-03,40.795443,-81.940609
182,653 SCOTT PL NW,Massillon,OH,44647,235000,2019-01-18,40.795445,-81.56554200000001
183,122 WOODLAWN AVE NW,Canton,OH,44708,62500,2019-01-31,40.796,-81.435969
184,323 WESTLAND AVE NW,Massillon,OH,44646,66000,2008-08-12,40.796040000000005,-81.45687
185,4805 BARRIE ST NW,Canton,OH,44708,37000,2012-03-05,40.796104,-81.43634300000001
186,424 19TH ST NW,Massillon,OH,44647,49500,2012-10-30,40.79614,-81.546302
187,654 HANCOCK ST,Wooster,OH,44691,50600,2013-04-01,40.796215999999994,-81.93111999999999
188,434 24TH ST NW,Massillon,OH,44647,41600,2008-07-16,40.796254,-81.553146
189,135 26TH ST SE,Massillon,OH,44646,54400,2014-09-11,40.796394,-81.48619599999999
190,14 LINCOLN WAY W,Massillon,OH,44647,11339,2012-11-16,40.796559,-81.523364
191,236 S MARKET ST,Wooster,OH,44691,200000,2013-08-15,40.795907,-81.93915600000001
192,612 BELLFLOWER AVE SW,Canton,OH,44710,90000,2017-05-08,40.79676,-81.413119
193,3049 BAYER CIR NW,Massillon,OH,44646,57000,2019-05-13,40.796793,-81.47694200000001
194,340 EDEN AVE NW,Massillon,OH,44646,99900,2005-11-17,40.796184000000004,-81.453806
195,464 S JEFFERSON RD,Wooster,OH,44691,269500,2017-12-01,40.796228,-82.022645
196,5040 AURORA ST NW,Canton,OH,44708,96200,2006-03-22,40.796879,-81.444257
197,477 GROSVENOR AVE NW,Massillon,OH,44647,36010,2016-01-06,40.796932,-81.54903
198,934 ROSELAND AVE NW,Massillon,OH,44647,79000,2006-02-07,40.796962,-81.579645
199,650 E HENRY ST,Wooster,OH,44691,51000,2017-03-30,40.797195,-81.93095
200,130 PROSPECT ST,Wooster,OH,44691,66000,2018-09-28,40.797433000000005,-81.930359
201,1933 VERMONT AVE SE,Massillon,OH,44646,52000,2014-04-25,40.79746,-81.498366
202,125 25TH ST SE,Massillon,OH,44646,30000,2010-11-15,40.79703,-81.488126
203,8456 LINCOLN WAY E,Orrville,OH,44667,212000,2012-04-05,40.796524,-81.824125
204,183 HILLSIDE DR,Dalton,OH,44618,154000,2014-03-18,40.797404,-81.731637
205,2555 LINCOLNWAY FARMS RD,Wooster,OH,44691,282000,2015-01-27,40.797082,-81.985253
206,959 KENYON AVE NW,Massillon,OH,44647,161000,2006-10-18,40.797604,-81.583079
207,286 BARNARD RD,Wooster,OH,44691,103000,2007-12-03,40.797694,-81.853608
208,4639 MARCELLUS ST NW,Canton,OH,44708,86300,2007-07-19,40.797845,-81.432613
209,205 N BAUER RD,Wooster,OH,44691,56000,2018-11-02,40.798014,-81.919371
210,1031 MIAMI AVE NW,Massillon,OH,44647,86500,2013-06-07,40.79807,-81.584365
211,3410 TUSCARAWAS ST W,Canton,OH,44708,142500,2014-05-08,40.797748,-81.41334300000001
212,146 1ST ST NE,Massillon,OH,44646,91000,2016-04-11,40.798078000000004,-81.52244499999999
213,50 NORTH AVE NW,Massillon,OH,44647,100000,2015-07-10,40.797833000000004,-81.525036
214,633 27TH ST NW,Massillon,OH,44647,90000,2016-03-29,40.798208,-81.557366
215,222 ERIE ST N,Massillon,OH,44646,95000,2016-09-06,40.798232,-81.52387399999999
216,557 25TH ST NW,Massillon,OH,44647,72900,2014-09-19,40.798291,-81.55460699999999
217,223 W LIBERTY ST,Wooster,OH,44691,450000,2008-10-24,40.798075,-81.941559
218,2406 LINCOLN WAY E,Massillon,OH,44646,9588100,2016-07-05,40.798185,-81.489791
219,4530 MARCELLUS ST NW,Canton,OH,44708,70000,2008-04-08,40.798241,-81.429464
220,31 HIGH ST,Dalton,OH,44618,14090,2012-03-29,40.798671,-81.684
221,12 MILL ST S,Dalton,OH,44618,100000,2018-11-06,40.798724,-81.694728
222,5030 TIOGA ST NW,Canton,OH,44708,89400,2010-11-19,40.798735,-81.44364200000001
223,160 HILLTOP DR NW,Canton,OH,44708,119000,2005-08-12,40.798439,-81.423304
224,120 E LIBERTY ST # R-120C,Wooster,OH,44691,105000,2018-08-06,40.7985,-81.939402
225,1145 WALLACE AVE SE,Massillon,OH,44646,34500,2006-08-29,40.798978999999996,-81.510023
226,146 PALMER ST,Wooster,OH,44691,18675,2014-08-18,40.798593,-81.924932
227,132 N WALNUT ST,Wooster,OH,44691,425000,2012-04-09,40.798615000000005,-81.941888
228,128 NORTH AVE NE,Massillon,OH,44646,100100,2011-08-26,40.798646999999995,-81.522058
229,184 CHERRY LN,Wooster,OH,44691,120000,2008-05-16,40.798339,-81.98992
230,3141 JORMAY AVE NW,Massillon,OH,44647,35000,2005-08-22,40.798345,-81.568927
231,729 LINCOLN WAY E,Massillon,OH,44646,118200,2015-01-07,40.798882,-81.514193
232,314 W MAIN ST,Dalton,OH,44618,117500,2007-12-07,40.798897,-81.70129
233,13615 LINCOLN ST,North Lawrence,OH,44666,123500,2006-08-23,40.799052,-81.61046400000001
234,422 W LARWILL ST,Wooster,OH,44691,1500,2016-07-18,40.799475,-81.946673
235,424 CHERRY RD NW,Massillon,OH,44647,90000,2008-05-09,40.799507,-81.53193900000001
236,14489 LINCOLN ST,North Lawrence,OH,44666,14300,2015-06-16,40.799523,-81.626958
237,202 N MARKET ST,Wooster,OH,44691,225000,2007-03-26,40.799401,-81.94044699999999
238,133 N BEVER ST,Wooster,OH,44691,172000,2014-04-21,40.799436,-81.93679399999999
239,618 FEDERAL AVE NE,Massillon,OH,44646,85000,2018-10-31,40.799652,-81.515679
240,2619 HURSH PL NW,Canton,OH,44708,40000,2012-10-10,40.799735999999996,-81.404384
241,4454 2ND ST NW,Canton,OH,44708,62500,2011-06-07,40.799805,-81.427616
242,189 WERTZ AVE NW,Canton,OH,44708,3000,2006-05-09,40.799844,-81.407713
243,1073 32ND ST NW,Massillon,OH,44647,58900,2018-08-27,40.799929999999996,-81.570481
244,1164 REBECCA ST,Wooster,OH,44691,40250,2007-07-24,40.799997,-81.92378599999999
245,5103 BEACHVIEW CIR NW,Canton,OH,44708,129900,2009-03-31,40.799616,-81.446339
246,111 W SCHULTZ ST,Dalton,OH,44618,115500,2005-09-22,40.799631,-81.696955
247,216 MONTROSE AVE NW,Canton,OH,44708,106000,2016-10-05,40.799642999999996,-81.415403
248,914 REBECCA ST,Wooster,OH,44691,23500,2015-06-09,40.800112,-81.926603
249,247 MONTROSE AVE NW,Canton,OH,44708,110000,2017-05-30,40.800203,-81.415734
250,421 2ND ST NE,Massillon,OH,44646,2000,2017-04-04,40.800379,-81.522051
251,5008 2ND ST NW,Canton,OH,44708,74400,2009-06-19,40.800394,-81.443203
252,4204 GEORGIA ST NW,Massillon,OH,44646,169000,2017-08-31,40.799915999999996,-81.456144
253,3121 2ND ST NW,Canton,OH,44708,49900,2013-10-01,40.800447999999996,-81.409878
254,3211 2ND ST NW,Canton,OH,44708,79000,2017-05-17,40.800495,-81.411287
255,850 CHERRY RD NW,Massillon,OH,44647,16800,2013-06-25,40.800043,-81.53490699999999
256,216 BROAD AVE NW,Canton,OH,44708,76500,2005-02-24,40.800633000000005,-81.405178
257,336 BARDON ST,Wooster,OH,44691,78500,2017-05-23,40.800646,-81.92226099999999
258,16 PRES VANNES DR,Dalton,OH,44618,75000,2015-08-12,40.800711,-81.732322
259,422 EMERICK ST,Wooster,OH,44691,62500,2016-04-19,40.80133,-81.945542
260,301 SPINK ST,Wooster,OH,44691,27000,2010-05-21,40.801439,-81.93190899999999
261,209 BEALL AVE,Wooster,OH,44691,231000,2011-08-31,40.800384,-81.934228
262,114 YOUNG ST,Dalton,OH,44618,108100,2019-01-04,40.801018,-81.695693
263,318 N KOHLER RD,Orrville,OH,44667,15000,2006-12-11,40.801592,-81.755461
264,2612 ROSEWOOD PL NW,Canton,OH,44708,22100,2018-11-16,40.801658,-81.403728
265,319 BROAD AVE NW,Canton,OH,44708,59000,2011-08-09,40.801706,-81.405463
266,444 EMERICK ST,Wooster,OH,44691,92500,2014-09-09,40.801798,-81.945533
267,1166 EASTERN AVE,Wooster,OH,44691,58000,2010-01-12,40.801807000000004,-81.924243
268,306 BEALL AVE,Wooster,OH,44691,505000,2008-06-25,40.801621999999995,-81.93458100000001
269,1505 MARLYN PKWY NE,Massillon,OH,44646,140000,2017-05-31,40.801629999999996,-81.504983
270,412 N WALNUT ST,Wooster,OH,44691,117000,2017-07-14,40.80165,-81.942696
271,330 LINWOOD AVE NW,Canton,OH,44708,121000,2008-09-26,40.801687,-81.414085
272,344 BROAD AVE NW,Canton,OH,44708,25400,2016-10-07,40.802316,-81.405055
273,303 WHIPPLE AVE NW,Canton,OH,44708,164000,2012-12-28,40.801749,-81.426177
274,481 WOODLAND AVE,Wooster,OH,44691,67500,2012-05-25,40.802642999999996,-81.94865899999999
275,3250 RUSS RANCH ST NW,Massillon,OH,44646,96000,2006-08-04,40.802116,-81.47340799999999
276,546 NOLD AVE,Wooster,OH,44691,68000,2015-12-11,40.802892,-81.93341
277,336 MONTROSE AVE NW,Canton,OH,44708,83000,2014-12-05,40.801834,-81.41528199999999
278,432 10TH ST NE,Massillon,OH,44646,86000,2005-04-28,40.802989000000004,-81.513509
279,706 WESTERN DR,Wooster,OH,44691,70000,2007-10-23,40.803098999999996,-81.950625
280,403 VINCE AVE NW,Canton,OH,44708,76500,2014-09-22,40.803356,-81.4234
281,2209 MAYFLOWER AVE NW,Massillon,OH,44647,96000,2019-01-22,40.802459000000006,-81.549584
282,503 BROAD AVE NW,Canton,OH,44708,50000,2016-05-13,40.803453999999995,-81.405346
283,20 BALDAUF CT NE,Massillon,OH,44646,44000,2008-12-19,40.803469,-81.524753
284,735 3RD ST NE,Massillon,OH,44646,28000,2019-05-14,40.803548,-81.52141999999999
285,565 EMERICK ST,Wooster,OH,44691,73000,2007-08-06,40.803756,-81.94514000000001
286,556 PALMER ST,Wooster,OH,44691,35000,2007-10-18,40.80387,-81.924881
287,753 ERIE ST N,Massillon,OH,44646,56900,2017-10-11,40.804121,-81.525683
288,575 NORTHWESTERN AVE,Wooster,OH,44691,61000,2018-06-11,40.804124,-81.950239
289,2108 COLONIAL PKWY NE,Massillon,OH,44646,145000,2008-06-10,40.803414000000004,-81.49525600000001
290,1363 KENYON AVE NW,Massillon,OH,44647,105000,2014-04-08,40.803490000000004,-81.582673
291,2458 TANGLEWOOD DR NE,Massillon,OH,44646,160000,2008-09-25,40.803134,-81.48806400000001
